菜名,分类,用料,做法
蒜蓉菜心,蔬菜,"广东菜心、蒜、盐、白糖、蚝油、食用油","菜心洗净，粗梗处对半切开。水开后加少量盐和油，放菜心焯至断生。热锅爆香蒜末，加蚝油、少量清水、盐和白糖煮开，淋在菜心上。"
白灼生菜,蔬菜,"生菜、蒜、生抽、蚝油、白糖、食用油","生菜洗净沥干。水开后快速烫熟捞出摆盘。蒜末爆香，加入生抽、蚝油、白糖和少量清水煮开，淋在生菜上。"
上汤娃娃菜,蔬菜,"娃娃菜、皮蛋、咸蛋、蒜、高汤或清水、盐","娃娃菜切开焯水。蒜粒煎香，加入皮蛋、咸蛋和高汤煮开，放娃娃菜煮软，加盐调味。"
客家萝卜丸,蔬菜,"白萝卜、红薯粉、虾米、香菇、葱、盐、白胡椒","白萝卜擦丝挤去部分水分。加入泡发虾米、香菇丁、葱、盐、白胡椒和红薯粉拌成团，捏成丸子蒸熟。"
客家酿豆腐,肉菜,"老豆腐、猪肉末、香菇、葱、盐、生抽、蚝油、淀粉","肉末加入香菇碎、葱、盐、生抽和淀粉拌匀。豆腐切块挖小洞，填入肉馅。平底锅煎至两面金黄，加蚝油、生抽和少量清水焖熟收汁。"
梅菜扣肉,肉菜,"五花肉、梅干菜、姜、葱、生抽、老抽、料酒、冰糖","五花肉煮至八成熟，抹老抽后煎皮上色，切片。梅干菜泡洗后炒香，加生抽和冰糖调味。肉片码碗，铺梅菜，上锅蒸至软糯后倒扣装盘。"
豉汁蒸排骨,肉菜,"排骨、豆豉、蒜、姜、生抽、蚝油、淀粉、食用油","排骨泡去血水后沥干。加入豆豉、蒜末、姜末、生抽、蚝油、淀粉和油抓匀腌制。铺盘后大火蒸约十五到二十分钟。"
白切鸡,肉菜,"走地鸡、姜、葱、盐、料酒、花生油、生抽","锅中加姜葱和料酒煮开，放鸡浸煮至熟后过凉，斩件。姜葱剁碎，加热花生油、盐和少量生抽调成蘸料。"
客家盐焗鸡,肉菜,"鸡、盐焗鸡粉、姜、葱、食用油","鸡擦干后用盐焗鸡粉和少量油抹匀，腌制半小时以上。放入姜葱，蒸熟或用电饭煲焗熟，稍凉后手撕或斩件。"
老火靓汤,汤,"猪骨、玉米、胡萝卜、马蹄、蜜枣、姜、盐","猪骨焯水洗净。与玉米、胡萝卜、马蹄、蜜枣和姜片一起入锅，加足量水小火煲一到两小时，最后加盐。"
冬瓜薏米排骨汤,汤,"排骨、冬瓜、薏米、姜、盐","薏米提前浸泡，排骨焯水。排骨、薏米和姜片先煲四十分钟，加入冬瓜继续煲至软，最后加盐。"
客家猪肚鸡汤,汤,"猪肚、鸡、白胡椒粒、姜、枸杞、盐","猪肚用盐和淀粉反复搓洗后焯水切条，鸡斩块焯水。加入白胡椒粒和姜片煲至汤色浓白，出锅前加枸杞和盐。"
